Sequence;Control (default AS);Control (custom AS);Experimental
0;14572;14051;14579
1;22907;22002;23210
2;23564;23025;24582
3;24200;23543;25086
4;24540;23824;25700
5;24782;23968;25879
6;25105;24286;26238
7;25242;24580;26385
8;25502;24612;26547
9;25746;24912;26701
