Condition;Average;Standard deviation;Median;N
plain;392.822;30.914;401.663;490
experimental;2737.038;941.845;2638.754;487
control-customactionselection;2217.631;638.652;2229.388;487
control-defaultactionselection;2201.527;665.019;2254.38;468
