Condition;Average;Standard deviation;Median;N
plain;4189.232;121.87;4189.947;49
experimental;27581.161;3115.748;27006.38;49
control-customactionselection;23166.766;4465.235;22161.794;49
control-defaultactionselection;21962.133;2565.221;21829.748;49
