Experiment;Condition;Run;Sequence;Time
exp1c;experimental;3;2;4515680
exp1c;experimental;3;3;5204061
exp1c;experimental;3;4;4262221
exp1c;experimental;3;5;4478980
exp1c;experimental;3;6;4316862
exp1c;experimental;3;7;4818374
exp1c;experimental;3;8;5395322
exp1c;experimental;3;9;4566401
exp1c;experimental;3;10;4746673
exp1c;control-defaultactionselection;10;1;3393587
exp1c;control-defaultactionselection;10;2;4211280
exp1c;control-defaultactionselection;10;3;3480500
exp1c;control-defaultactionselection;10;4;3378345
exp1c;control-defaultactionselection;10;5;2683772
exp1c;control-defaultactionselection;10;6;3315528
exp1c;control-defaultactionselection;10;7;3458628
exp1c;control-defaultactionselection;10;8;2660483
exp1c;control-defaultactionselection;10;9;3543626
exp1c;control-defaultactionselection;10;10;4982520
exp1c;experimental;42;1;3170643
exp1c;experimental;42;2;4225106
exp1c;experimental;42;3;6043884
exp1c;experimental;42;4;5338922
exp1c;experimental;42;5;6634480
exp1c;experimental;42;6;6517961
exp1c;experimental;42;7;5367350
exp1c;experimental;42;8;2675532
exp1c;experimental;42;9;7100786
exp1c;experimental;42;10;5346935
exp1c;control-defaultactionselection;21;1;3566237
exp1c;control-defaultactionselection;21;2;3524792
exp1c;control-defaultactionselection;21;3;3588142
exp1c;control-defaultactionselection;21;4;3454093
exp1c;control-defaultactionselection;21;5;3486202
exp1c;control-defaultactionselection;21;6;3328955
exp1c;control-defaultactionselection;21;7;3399826
exp1c;control-defaultactionselection;21;8;2785211
exp1c;control-defaultactionselection;21;9;3577388
exp1c;control-defaultactionselection;21;10;3524978
exp1c;control-defaultactionselection;26;1;3677687
exp1c;control-defaultactionselection;26;2;3635342
exp1c;control-defaultactionselection;26;3;3638528
exp1c;control-defaultactionselection;26;4;3601295
exp1c;control-defaultactionselection;26;5;3488604
exp1c;control-defaultactionselection;26;6;3185139
exp1c;control-defaultactionselection;26;7;3720182
exp1c;control-defaultactionselection;26;8;3003245
exp1c;control-defaultactionselection;26;9;3564360
exp1c;control-defaultactionselection;26;10;3463138
exp1c;control-customactionselection;9;1;2930020
exp1c;control-customactionselection;9;2;2926217
exp1c;control-customactionselection;9;3;2858831
exp1c;control-customactionselection;9;4;2471111
exp1c;control-customactionselection;9;5;2884425
exp1c;control-customactionselection;9;6;2863471
exp1c;control-customactionselection;9;7;2890082
exp1c;control-customactionselection;9;8;2637448
exp1c;control-customactionselection;9;9;2818129
exp1c;control-customactionselection;9;10;880772
exp1c;experimental;10;1;5602360
exp1c;experimental;10;2;4611837
exp1c;experimental;10;3;3997288
exp1c;experimental;10;4;4691197
exp1c;experimental;10;5;5224596
exp1c;experimental;10;6;4908400
exp1c;experimental;10;7;2660366
exp1c;experimental;10;8;2145172
exp1c;experimental;10;9;4422842
exp1c;experimental;10;10;3355543
exp1c;control-defaultactionselection;17;1;3468818
exp1c;control-defaultactionselection;17;2;3251341
exp1c;control-defaultactionselection;17;3;3298211
exp1c;control-defaultactionselection;17;4;3433364
exp1c;control-defaultactionselection;17;5;3325267
exp1c;control-defaultactionselection;17;6;3508699
exp1c;control-defaultactionselection;17;7;3607670
exp1c;control-defaultactionselection;17;8;3448979
exp1c;control-defaultactionselection;17;9;3460703
exp1c;control-defaultactionselection;17;10;3448152
exp1c;plain;12;1;352072
exp1c;plain;12;2;348990
exp1c;plain;12;3;343342
exp1c;plain;12;4;370342
exp1c;plain;12;5;325340
exp1c;plain;12;6;78973
exp1c;plain;12;7;355262
exp1c;plain;12;8;365095
exp1c;plain;12;9;358270
exp1c;plain;12;10;352269
exp1c;control-customactionselection;5;1;2852545
exp1c;control-customactionselection;5;2;2766720
exp1c;control-customactionselection;5;3;2824589
exp1c;control-customactionselection;5;4;2945051
exp1c;control-customactionselection;5;5;2837991
exp1c;control-customactionselection;5;6;2875881
exp1c;control-customactionselection;5;7;4425017
exp1c;control-customactionselection;5;8;2676881
exp1c;control-customactionselection;5;9;2841321
exp1c;control-customactionselection;5;10;2478805
exp1c;plain;35;1;363487
exp1c;plain;35;2;352077
exp1c;plain;35;3;350137
exp1c;plain;35;4;353202
exp1c;plain;35;5;349733
exp1c;plain;35;6;335178
exp1c;plain;35;7;343815
exp1c;plain;35;8;361460
exp1c;plain;35;9;335362
exp1c;plain;35;10;367991
exp1c;control-defaultactionselection;6;1;3101317
exp1c;control-defaultactionselection;6;2;3462461
exp1c;control-defaultactionselection;6;3;2828739
exp1c;control-defaultactionselection;6;4;3513526
exp1c;control-defaultactionselection;6;5;2993611
exp1c;control-defaultactionselection;6;6;3331650
exp1c;control-defaultactionselection;6;7;3420693
exp1c;control-defaultactionselection;6;8;794227
exp1c;control-defaultactionselection;6;9;3074497
exp1c;control-defaultactionselection;6;10;3842417
exp1c;experimental;55;1;1601739
exp1c;experimental;55;2;5399640
exp1c;experimental;55;3;3412198
exp1c;experimental;55;4;4756326
exp1c;experimental;55;5;5327963
exp1c;experimental;55;6;5195920
exp1c;experimental;55;7;3837910
exp1c;experimental;55;8;4806963
exp1c;experimental;55;9;4684720
exp1c;experimental;55;10;4186643
exp1c;control-defaultactionselection;28;1;3314545
exp1c;control-defaultactionselection;28;2;3768350
exp1c;control-defaultactionselection;28;3;3149780
exp1c;control-defaultactionselection;28;4;3496677
exp1c;control-defaultactionselection;28;5;2708627
exp1c;control-defaultactionselection;28;6;2803899
exp1c;control-defaultactionselection;28;7;3471329
exp1c;control-defaultactionselection;28;8;3089529
exp1c;control-defaultactionselection;28;9;3798251
exp1c;control-defaultactionselection;28;10;3574573
exp1c;experimental;44;1;3150513
exp1c;experimental;44;2;3078660
exp1c;experimental;44;3;3295255
exp1c;experimental;44;4;8389612
exp1c;experimental;44;5;4670235
exp1c;experimental;44;6;5460009
exp1c;experimental;44;7;5680059
exp1c;experimental;44;8;5835578
exp1c;experimental;44;9;5718772
exp1c;experimental;44;10;3892288
exp1c;plain;32;1;368712
exp1c;plain;32;2;360400
exp1c;plain;32;3;371441
exp1c;plain;32;4;364838
exp1c;plain;32;5;370487
exp1c;plain;32;6;345404
exp1c;plain;32;7;364385
exp1c;plain;32;8;367619
exp1c;plain;32;9;338768
exp1c;plain;32;10;357266
exp1c;experimental;32;1;4425314
exp1c;experimental;32;2;4618773
exp1c;experimental;32;3;647915
exp1c;experimental;32;4;7221005
exp1c;experimental;32;5;7836492
exp1c;experimental;32;6;6022783
exp1c;experimental;32;7;5673641
exp1c;experimental;32;8;1390034
exp1c;experimental;32;9;4976355
exp1c;experimental;32;10;7023677
exp1c;plain;19;1;357209
exp1c;plain;19;2;364524
exp1c;plain;19;3;369202
exp1c;plain;19;4;348681
exp1c;plain;19;5;371782
exp1c;plain;19;6;341517
exp1c;plain;19;7;373024
exp1c;plain;19;8;362903
exp1c;plain;19;9;365582
exp1c;plain;19;10;368401
exp1c;experimental;15;1;4967580
exp1c;experimental;15;2;5220206
exp1c;experimental;15;3;4529439
exp1c;experimental;15;4;3839280
exp1c;experimental;15;5;4638533
exp1c;experimental;15;6;4470813
exp1c;experimental;15;7;4773910
exp1c;experimental;15;8;4166267
exp1c;experimental;15;9;3775466
exp1c;experimental;15;10;2345561
exp1c;experimental;16;1;3145046
exp1c;experimental;16;2;4471861
exp1c;experimental;16;3;4167079
exp1c;experimental;16;4;4070564
exp1c;experimental;16;5;4102390
exp1c;experimental;16;6;4546602
exp1c;experimental;16;7;4912736
exp1c;experimental;16;8;1109027
exp1c;experimental;16;9;4426287
exp1c;experimental;16;10;7194637
exp1c;control-customactionselection;21;1;2941793
exp1c;control-customactionselection;21;2;2890979
exp1c;control-customactionselection;21;3;2905725
exp1c;control-customactionselection;21;4;2858742
exp1c;control-customactionselection;21;5;2960644
exp1c;control-customactionselection;21;6;2941475
exp1c;control-customactionselection;21;7;2893632
exp1c;control-customactionselection;21;8;2826336
exp1c;control-customactionselection;21;9;2904304
exp1c;control-customactionselection;21;10;2899738
exp1c;experimental;38;1;2845725
exp1c;experimental;38;2;3195017
exp1c;experimental;38;3;4485389
exp1c;experimental;38;4;5581462
exp1c;experimental;38;5;2214232
exp1c;experimental;38;6;6329343
exp1c;experimental;38;7;4431379
exp1c;experimental;38;8;14507605
exp1c;experimental;38;9;5046802
exp1c;experimental;38;10;3849581
exp1c;experimental;56;1;3267187
exp1c;experimental;56;2;3432323
exp1c;experimental;56;3;432042
exp1c;experimental;56;4;3500022
exp1c;experimental;56;5;3617263
exp1c;experimental;56;6;4878411
exp1c;experimental;56;7;4125578
exp1c;experimental;56;8;4388409
exp1c;experimental;56;9;4484771
exp1c;experimental;56;10;4645271
exp1c;control-customactionselection;19;1;3340766
exp1c;control-customactionselection;19;2;2866419
exp1c;control-customactionselection;19;3;2995487
exp1c;control-customactionselection;19;4;2867031
exp1c;control-customactionselection;19;5;2931096
exp1c;control-customactionselection;19;6;2952798
exp1c;control-customactionselection;19;7;2897144
exp1c;control-customactionselection;19;8;1715012
exp1c;control-customactionselection;19;9;2995674
exp1c;control-customactionselection;19;10;2884792
exp1c;control-customactionselection;12;1;1779555
exp1c;control-customactionselection;12;2;3130838
exp1c;control-customactionselection;12;3;2902924
exp1c;control-customactionselection;12;4;3152403
exp1c;control-customactionselection;12;5;3127819
exp1c;control-customactionselection;12;6;3128318
exp1c;control-customactionselection;12;7;2731379
exp1c;control-customactionselection;12;8;3083206
exp1c;control-customactionselection;12;9;3169478
exp1c;control-customactionselection;12;10;3126684
exp1c;control-customactionselection;23;1;2949768
exp1c;control-customactionselection;23;2;2927127
exp1c;control-customactionselection;23;3;2967497
exp1c;control-customactionselection;23;4;2869042
