Experiment;Condition;Run;Sequence;Total;Application
exp1c;experimental;13;4;12284;9326
exp1c;experimental;13;1;10458;8032
exp1c;experimental;13;9;13423;10407
exp1c;experimental;3;7;12203;9725
exp1c;experimental;3;0;9579;7156
exp1c;experimental;3;8;12713;9934
exp1c;experimental;3;6;12141;9663
exp1c;experimental;3;3;10907;8463
exp1c;experimental;3;9;12872;10093
exp1c;experimental;3;5;11780;9302
exp1c;experimental;3;1;9729;7306
exp1c;experimental;3;4;11274;8804
exp1c;experimental;3;2;10130;7707
exp1c;control-defaultactionselection;10;2;13509;11068
exp1c;control-defaultactionselection;10;8;14234;11492
exp1c;control-defaultactionselection;10;7;14077;11335
exp1c;control-defaultactionselection;10;0;12299;9873
exp1c;control-defaultactionselection;10;1;12360;9934
exp1c;control-defaultactionselection;10;3;13509;11068
exp1c;control-defaultactionselection;10;5;13936;11194
exp1c;control-defaultactionselection;10;6;14048;11306
exp1c;control-defaultactionselection;10;4;13930;11188
exp1c;experimental;42;9;11234;8571
exp1c;experimental;42;8;10940;8277
exp1c;experimental;42;2;10077;7659
exp1c;experimental;42;0;9672;7254
exp1c;experimental;42;3;10077;7659
exp1c;experimental;42;5;10790;8138
exp1c;experimental;42;1;9681;7263
exp1c;experimental;42;4;10789;8137
exp1c;control-defaultactionselection;21;6;14005;11222
exp1c;control-defaultactionselection;21;5;13545;10813
exp1c;control-defaultactionselection;21;0;11388;8664
exp1c;control-defaultactionselection;21;7;14005;11222
exp1c;control-defaultactionselection;21;9;14010;11227
exp1c;control-defaultactionselection;21;3;13195;10463
exp1c;control-defaultactionselection;21;4;13454;10722
exp1c;control-defaultactionselection;21;2;12981;10249
exp1c;control-defaultactionselection;21;8;14005;11222
exp1c;control-defaultactionselection;21;1;12336;9604
exp1c;control-defaultactionselection;26;5;13971;11187
exp1c;control-defaultactionselection;26;7;13998;11214
exp1c;control-defaultactionselection;26;0;11856;9122
exp1c;control-defaultactionselection;26;2;13834;11056
exp1c;control-defaultactionselection;26;8;14126;11342
exp1c;control-defaultactionselection;26;1;13023;10253
exp1c;control-defaultactionselection;26;4;13965;11187
exp1c;control-defaultactionselection;26;9;14126;11342
exp1c;control-defaultactionselection;26;6;13998;11214
exp1c;control-defaultactionselection;26;3;13941;11163
exp1c;control-customactionselection;9;7;11046;8628
exp1c;control-customactionselection;9;9;11441;8792
exp1c;control-customactionselection;9;4;10623;8205
exp1c;control-customactionselection;9;0;9984;7566
exp1c;control-customactionselection;9;8;11046;8628
exp1c;control-customactionselection;9;5;10624;8206
exp1c;control-customactionselection;9;2;10571;8153
exp1c;control-customactionselection;9;3;10571;8153
exp1c;control-customactionselection;9;6;10704;8286
exp1c;control-customactionselection;9;1;10479;8061
exp1c;experimental;10;0;8648;6307
exp1c;experimental;10;1;10091;7673
exp1c;experimental;10;8;11857;8868
exp1c;experimental;10;9;11983;8973
exp1c;experimental;10;4;10679;8224
exp1c;experimental;10;5;11323;8552
exp1c;experimental;10;2;10215;7771
exp1c;experimental;10;6;11614;8625
exp1c;control-defaultactionselection;17;5;13708;10924
exp1c;control-defaultactionselection;17;2;12588;9854
exp1c;control-defaultactionselection;17;1;12098;9364
exp1c;control-defaultactionselection;17;6;14007;11223
exp1c;control-defaultactionselection;17;4;13208;10466
exp1c;control-defaultactionselection;17;7;14563;11779
exp1c;control-defaultactionselection;17;3;13117;10375
exp1c;control-defaultactionselection;17;9;14567;11783
exp1c;control-defaultactionselection;17;8;14567;11783
exp1c;control-defaultactionselection;17;0;11261;8843
exp1c;control-customactionselection;5;8;12422;9946
exp1c;control-customactionselection;5;4;11343;8867
exp1c;control-customactionselection;5;2;10833;8415
exp1c;control-customactionselection;5;3;10938;8520
exp1c;control-customactionselection;5;5;11427;8951
