Experiment;Condition;Run;Sequence;Result
exp1c;control-defaultactionselection;10;7;0
exp1c;control-defaultactionselection;10;8;0
exp1c;control-defaultactionselection;10;9;0
exp1c;control-defaultactionselection;10;10;1
exp1c;experimental;42;1;0
exp1c;experimental;42;2;0
exp1c;experimental;42;3;0
exp1c;experimental;42;4;0
exp1c;experimental;42;5;0
exp1c;experimental;42;6;0
exp1c;experimental;42;7;0
exp1c;experimental;42;8;1
exp1c;experimental;42;9;0
exp1c;experimental;42;10;0
exp1c;control-defaultactionselection;21;1;0
exp1c;control-defaultactionselection;21;2;0
exp1c;control-defaultactionselection;21;3;0
exp1c;control-defaultactionselection;21;4;0
exp1c;control-defaultactionselection;21;5;0
exp1c;control-defaultactionselection;21;6;0
exp1c;control-defaultactionselection;21;7;0
exp1c;control-defaultactionselection;21;8;0
exp1c;control-defaultactionselection;21;9;0
exp1c;control-defaultactionselection;21;10;0
exp1c;control-defaultactionselection;26;1;0
exp1c;control-defaultactionselection;26;2;0
exp1c;control-defaultactionselection;26;3;0
exp1c;control-defaultactionselection;26;4;0
exp1c;control-defaultactionselection;26;5;0
exp1c;control-defaultactionselection;26;6;0
exp1c;control-defaultactionselection;26;7;0
exp1c;control-defaultactionselection;26;8;0
exp1c;control-defaultactionselection;26;9;0
exp1c;control-defaultactionselection;26;10;0
exp1c;control-customactionselection;9;1;0
exp1c;control-customactionselection;9;2;0
exp1c;control-customactionselection;9;3;0
exp1c;control-customactionselection;9;4;0
exp1c;control-customactionselection;9;5;0
exp1c;control-customactionselection;9;6;0
exp1c;control-customactionselection;9;7;0
exp1c;control-customactionselection;9;8;0
exp1c;control-customactionselection;9;9;0
exp1c;control-customactionselection;9;10;1
exp1c;experimental;10;1;0
exp1c;experimental;10;2;0
exp1c;experimental;10;3;0
exp1c;experimental;10;4;1
exp1c;experimental;10;5;0
exp1c;experimental;10;6;0
exp1c;experimental;10;7;0
exp1c;experimental;10;8;1
exp1c;experimental;10;9;0
exp1c;experimental;10;10;1
exp1c;control-defaultactionselection;17;1;0
exp1c;control-defaultactionselection;17;2;0
exp1c;control-defaultactionselection;17;3;0
exp1c;control-defaultactionselection;17;4;0
exp1c;control-defaultactionselection;17;5;0
exp1c;control-defaultactionselection;17;6;0
exp1c;control-defaultactionselection;17;7;0
exp1c;control-defaultactionselection;17;8;0
exp1c;control-defaultactionselection;17;9;0
exp1c;control-defaultactionselection;17;10;0
exp1c;plain;12;1;0
exp1c;plain;12;2;0
exp1c;plain;12;3;0
exp1c;plain;12;4;0
exp1c;plain;12;5;0
exp1c;plain;12;6;1
exp1c;plain;12;7;0
exp1c;plain;12;8;0
exp1c;plain;12;9;0
exp1c;plain;12;10;0
exp1c;control-customactionselection;5;1;0
exp1c;control-customactionselection;5;2;0
exp1c;control-customactionselection;5;3;0
