Experiment;Condition;Run;Runtime;Actions
exp1i;control-defaultactionselection;38;23591211;1802
exp1i;experimental;55;26492755;3030
exp1i;control-defaultactionselection;39;11095122;600
exp1i;control-customactionselection;45;20009186;2763
exp1i;experimental;54;24635517;3030
exp1i;control-customactionselection;3;21995816;3030
exp1i;control-customactionselection;44;21583237;3030
exp1i;control-customactionselection;25;21632795;3030
exp1i;plain;15;4148001;3030
exp1i;plain;9;4322805;3030
exp1i;control-customactionselection;38;22161794;3030
exp1i;experimental;33;26440001;3030
exp1i;experimental;45;27940102;3030
exp1i;control-defaultactionselection;4;24273701;3030
exp1i;plain;8;4189142;3030
exp1i;experimental;14;28302752;2727
exp1i;control-defaultactionselection;20;25396806;3030
exp1i;experimental;6;25069850;3030
exp1i;experimental;91;27265889;3030
exp1i;experimental;31;27704760;3030
exp1i;experimental;22;25496444;3030
exp1i;control-customactionselection;55;21899832;3030
exp1i;control-customactionselection;34;21189474;3030
exp1i;control-customactionselection;42;21670586;3030
exp1i;control-customactionselection;35;22400822;3030
exp1i;experimental;11;20816270;2048
exp1i;control-customactionselection;23;21306912;3030
exp1i;experimental;37;27347016;3030
exp1i;control-customactionselection;32;23153861;3030
exp1i;control-customactionselection;28;36845981;2510
exp1i;plain;27;4099042;3030
exp1i;plain;5;4237835;3030
exp1i;experimental;53;25316659;3030
exp1i;plain;45;4312694;3030
exp1i;plain;18;4189947;3030
exp1i;plain;7;4336556;3030
exp1i;plain;28;4047735;3030
exp1i;control-defaultactionselection;48;22204818;3030
exp1i;control-customactionselection;54;22469642;2727
exp1i;control-defaultactionselection;25;23753713;3030
