Experiment;Condition;Run;Sequence;Total;Application
exp1i;control-defaultactionselection;32;1;11490;7366
exp1i;control-defaultactionselection;32;4;14226;9986
exp1i;control-defaultactionselection;32;6;14614;10366
exp1i;control-defaultactionselection;32;7;14674;10420
exp1i;control-defaultactionselection;32;2;13152;8912
exp1i;control-defaultactionselection;32;0;7713;3932
exp1i;control-defaultactionselection;32;3;13570;9330
exp1i;control-defaultactionselection;32;9;14711;10456
exp1i;control-defaultactionselection;32;5;14278;10038
exp1i;control-defaultactionselection;37;6;1938;1197
exp1i;control-defaultactionselection;37;8;1930;1197
exp1i;control-defaultactionselection;37;5;13226;8085
exp1i;control-defaultactionselection;37;4;11108;6124
exp1i;control-defaultactionselection;37;9;2607;1237
exp1i;control-defaultactionselection;37;1;1946;1200
exp1i;control-defaultactionselection;37;0;1937;1196
exp1i;control-defaultactionselection;37;7;11561;7629
exp1i;control-defaultactionselection;37;2;1952;1206
exp1i;control-customactionselection;17;4;13867;9637
exp1i;control-customactionselection;17;7;14323;10092
exp1i;control-customactionselection;17;3;13791;9575
exp1i;control-customactionselection;17;0;12417;8215
exp1i;control-customactionselection;17;6;14178;9948
exp1i;control-customactionselection;17;9;10428;6667
exp1i;control-customactionselection;17;8;1937;1196
exp1i;control-customactionselection;17;5;14170;9940
exp1i;control-customactionselection;17;1;13008;8792
exp1i;control-customactionselection;17;2;13346;9130
exp1i;control-defaultactionselection;46;9;16176;11811
exp1i;control-defaultactionselection;46;1;14368;10021
exp1i;control-defaultactionselection;46;2;14368;10021
exp1i;control-defaultactionselection;46;8;15971;11606
exp1i;control-defaultactionselection;46;7;15971;11606
exp1i;control-defaultactionselection;46;3;14594;10247
exp1i;control-defaultactionselection;46;6;15902;11543
exp1i;control-defaultactionselection;46;0;12248;7902
exp1i;control-defaultactionselection;46;4;15588;11229
exp1i;control-defaultactionselection;46;5;15902;11543
exp1i;experimental;81;2;13840;9807
exp1i;experimental;81;4;13975;9922
exp1i;experimental;81;5;14537;10480
exp1i;experimental;81;8;15014;10780
exp1i;experimental;81;6;14884;10665
exp1i;experimental;81;0;12693;8664
exp1i;experimental;81;7;14907;10682
exp1i;experimental;81;9;15014;10780
exp1i;experimental;81;1;13476;9447
exp1i;experimental;81;3;13975;9922
exp1i;control-customactionselection;36;6;15160;10759
exp1i;control-customactionselection;36;1;12766;8655
exp1i;control-customactionselection;36;0;12427;8437
exp1i;control-customactionselection;36;9;16164;11759
exp1i;control-customactionselection;36;7;15328;10923
exp1i;control-customactionselection;36;5;14962;10561
exp1i;control-customactionselection;36;3;13143;9010
exp1i;control-customactionselection;36;8;16164;11759
exp1i;control-customactionselection;36;4;14954;10553
exp1i;control-customactionselection;36;2;13143;9010
exp1i;control-defaultactionselection;33;7;15502;11347
exp1i;control-defaultactionselection;33;4;15362;11208
exp1i;control-defaultactionselection;33;9;15650;11469
exp1i;control-defaultactionselection;33;8;15567;11406
exp1i;control-defaultactionselection;33;2;14122;9990
exp1i;control-defaultactionselection;33;0;11104;7004
exp1i;control-defaultactionselection;33;3;14664;10510
exp1i;control-defaultactionselection;33;5;15502;11347
exp1i;control-defaultactionselection;33;1;12109;8000
exp1i;control-defaultactionselection;33;6;15502;11347
exp1i;control-defaultactionselection;12;0;9513;5521
exp1i;control-defaultactionselection;12;9;14464;10306
exp1i;control-defaultactionselection;12;8;14383;10225
exp1i;control-defaultactionselection;12;7;14383;10225
exp1i;control-defaultactionselection;12;5;14383;10225
exp1i;control-defaultactionselection;12;3;14065;9917
exp1i;control-defaultactionselection;12;1;11706;7588
exp1i;control-defaultactionselection;12;2;13863;9725
exp1i;control-defaultactionselection;12;6;14383;10225
exp1i;control-defaultactionselection;12;4;14316;10168
exp1i;control-defaultactionselection;44;0;11885;7854
exp1i;control-defaultactionselection;44;7;16406;12231
exp1i;control-defaultactionselection;44;3;15785;11611
exp1i;control-defaultactionselection;44;6;16167;11992
exp1i;control-defaultactionselection;44;8;16511;12336
exp1i;control-defaultactionselection;44;4;16111;11936
exp1i;control-defaultactionselection;44;1;14504;10358
exp1i;control-defaultactionselection;44;2;15214;11046
exp1i;control-defaultactionselection;44;9;16511;12336
exp1i;control-defaultactionselection;44;5;16113;11938
exp1i;control-defaultactionselection;11;9;15191;11030
exp1i;control-defaultactionselection;11;8;15191;11030
exp1i;control-defaultactionselection;11;1;13352;9213
exp1i;control-defaultactionselection;11;4;14189;10032
exp1i;control-defaultactionselection;11;6;15191;11030
exp1i;control-defaultactionselection;11;2;13593;9454
exp1i;control-defaultactionselection;11;0;9176;5191
exp1i;control-defaultactionselection;11;3;13868;9719
exp1i;control-defaultactionselection;11;5;15191;11030
exp1i;control-defaultactionselection;11;7;15191;11030
exp1i;experimental;41;1;14186;9792
exp1i;experimental;41;8;16691;12227
exp1i;experimental;41;9;16691;12227
exp1i;experimental;41;4;16299;11848
exp1i;experimental;41;2;16014;11565
exp1i;experimental;41;6;16586;12123
exp1i;experimental;41;0;13505;9125
exp1i;experimental;41;5;16338;11883
exp1i;experimental;41;3;16268;11817
exp1i;experimental;41;7;16687;12223
exp1i;control-customactionselection;27;0;11747;7650
exp1i;control-customactionselection;27;9;14214;9979
exp1i;control-customactionselection;27;2;13032;8798
exp1i;control-customactionselection;27;1;12802;8580
