Experiment;Condition;Run;Sequence;Time
exp1i;control-defaultactionselection;41;10;2211521
exp1i;control-customactionselection;52;1;1422329
exp1i;control-customactionselection;52;2;2298542
exp1i;control-customactionselection;52;3;1392919
exp1i;control-customactionselection;52;4;2337316
exp1i;control-customactionselection;52;5;2083570
exp1i;control-customactionselection;52;6;2034105
exp1i;control-customactionselection;52;7;2007582
exp1i;control-customactionselection;52;8;2656965
exp1i;control-customactionselection;52;9;2148576
exp1i;control-customactionselection;52;10;1677749
exp1i;control-defaultactionselection;32;1;1392962
exp1i;control-defaultactionselection;32;2;2097049
exp1i;control-defaultactionselection;32;3;2315487
exp1i;control-defaultactionselection;32;4;1579382
exp1i;control-defaultactionselection;32;5;2664790
exp1i;control-defaultactionselection;32;6;2339047
exp1i;control-defaultactionselection;32;7;2331951
exp1i;control-defaultactionselection;32;8;2404648
exp1i;control-defaultactionselection;32;9;1758276
exp1i;control-defaultactionselection;32;10;3008046
exp1i;control-defaultactionselection;37;1;2538587
exp1i;control-defaultactionselection;37;2;5204475
exp1i;control-defaultactionselection;37;3;4222121
exp1i;control-defaultactionselection;37;4;999372
exp1i;control-defaultactionselection;37;5;1590353
exp1i;control-defaultactionselection;37;6;1645120
exp1i;control-defaultactionselection;37;7;2467091
exp1i;control-defaultactionselection;37;8;1648026
exp1i;control-defaultactionselection;37;9;3482957
exp1i;control-defaultactionselection;37;10;1031299
exp1i;control-customactionselection;17;1;2304618
exp1i;control-customactionselection;17;2;2947920
exp1i;control-customactionselection;17;3;1962870
exp1i;control-customactionselection;17;4;2090014
exp1i;control-customactionselection;17;5;1515919
exp1i;control-customactionselection;17;6;2168901
exp1i;control-customactionselection;17;7;2261793
exp1i;control-customactionselection;17;8;2079770
exp1i;control-customactionselection;17;9;2504866
exp1i;control-customactionselection;17;10;2497144
exp1i;plain;13;1;347551
exp1i;plain;13;2;378585
exp1i;plain;13;3;426064
exp1i;plain;13;4;434402
exp1i;plain;13;5;417298
exp1i;plain;13;6;405348
exp1i;plain;13;7;422750
exp1i;plain;13;8;408711
exp1i;plain;13;9;433158
exp1i;plain;13;10;435925
exp1i;control-defaultactionselection;46;1;1932866
exp1i;control-defaultactionselection;46;2;2606354
exp1i;control-defaultactionselection;46;3;1494204
exp1i;control-defaultactionselection;46;4;2612413
exp1i;control-defaultactionselection;46;5;2701654
exp1i;control-defaultactionselection;46;6;2500525
exp1i;control-defaultactionselection;46;7;2256526
exp1i;control-defaultactionselection;46;8;2193079
exp1i;control-defaultactionselection;46;9;2259348
exp1i;control-defaultactionselection;46;10;1807703
exp1i;experimental;81;1;3057656
exp1i;experimental;81;2;3742600
exp1i;experimental;81;3;2616965
exp1i;experimental;81;4;1787996
exp1i;experimental;81;5;1923317
exp1i;experimental;81;6;2977714
exp1i;experimental;81;7;2508833
exp1i;experimental;81;8;2339015
exp1i;experimental;81;9;2886286
exp1i;experimental;81;10;2005679
exp1i;control-customactionselection;36;1;2351106
exp1i;control-customactionselection;36;2;2355626
exp1i;control-customactionselection;36;3;1741579
exp1i;control-customactionselection;36;4;1707744
exp1i;control-customactionselection;36;5;2315458
exp1i;control-customactionselection;36;6;2668495
exp1i;control-customactionselection;36;7;2318452
exp1i;control-customactionselection;36;8;2085419
exp1i;control-customactionselection;36;9;2211454
exp1i;control-customactionselection;36;10;1679844
exp1i;plain;3;1;431386
exp1i;plain;3;2;419844
exp1i;plain;3;3;429136
exp1i;plain;3;4;399851
exp1i;plain;3;5;436924
exp1i;plain;3;6;342760
exp1i;plain;3;7;426305
exp1i;plain;3;8;354776
exp1i;plain;3;9;410434
exp1i;plain;3;10;348682
exp1i;control-defaultactionselection;33;1;1606171
exp1i;control-defaultactionselection;33;2;1843472
exp1i;control-defaultactionselection;33;3;2461865
exp1i;control-defaultactionselection;33;4;2176409
exp1i;control-defaultactionselection;33;5;2490647
exp1i;control-defaultactionselection;33;6;2296002
exp1i;control-defaultactionselection;33;7;2269650
exp1i;control-defaultactionselection;33;8;1600995
exp1i;control-defaultactionselection;33;9;2005542
exp1i;control-defaultactionselection;33;10;2271008
exp1i;control-defaultactionselection;12;1;2210273
exp1i;control-defaultactionselection;12;2;2954135
exp1i;control-defaultactionselection;12;3;2673206
exp1i;control-defaultactionselection;12;4;1940514
exp1i;control-defaultactionselection;12;5;2479095
exp1i;control-defaultactionselection;12;6;2883356
exp1i;control-defaultactionselection;12;7;1401796
exp1i;control-defaultactionselection;12;8;1590744
exp1i;control-defaultactionselection;12;9;1413083
exp1i;control-defaultactionselection;12;10;1583506
exp1i;control-defaultactionselection;44;1;1884978
exp1i;control-defaultactionselection;44;2;2370878
exp1i;control-defaultactionselection;44;3;1743564
exp1i;control-defaultactionselection;44;4;2743993
exp1i;control-defaultactionselection;44;5;2335434
exp1i;control-defaultactionselection;44;6;1531919
exp1i;control-defaultactionselection;44;7;2367862
exp1i;control-defaultactionselection;44;8;2428639
exp1i;control-defaultactionselection;44;9;2132268
exp1i;control-defaultactionselection;44;10;1815999
exp1i;plain;43;1;403877
exp1i;plain;43;2;450473
exp1i;plain;43;3;342915
exp1i;plain;43;4;454534
exp1i;plain;43;5;356925
exp1i;plain;43;6;405941
exp1i;plain;43;7;427647
exp1i;plain;43;8;421056
exp1i;plain;43;9;354916
exp1i;plain;43;10;362021
exp1i;control-defaultactionselection;11;1;1535541
exp1i;control-defaultactionselection;11;2;2622455
exp1i;control-defaultactionselection;11;3;1822388
exp1i;control-defaultactionselection;11;4;2541821
exp1i;control-defaultactionselection;11;5;2622313
exp1i;control-defaultactionselection;11;6;2462636
exp1i;control-defaultactionselection;11;7;1692417
exp1i;control-defaultactionselection;11;8;1476388
exp1i;control-defaultactionselection;11;9;2167995
exp1i;control-defaultactionselection;11;10;1727444
exp1i;experimental;41;1;2984455
exp1i;experimental;41;2;2338509
exp1i;experimental;41;3;2822095
exp1i;experimental;41;4;2726083
exp1i;experimental;41;5;3312451
exp1i;experimental;41;6;2963100
exp1i;experimental;41;7;3358328
exp1i;experimental;41;8;3085406
exp1i;experimental;41;9;3966310
exp1i;experimental;41;10;2421630
exp1i;plain;16;1;389415
exp1i;plain;16;2;361828
exp1i;plain;16;3;375740
exp1i;plain;16;4;416881
exp1i;plain;16;5;425928
exp1i;plain;16;6;435142
exp1i;plain;16;7;407068
exp1i;plain;16;8;350270
exp1i;plain;16;9;404059
exp1i;plain;16;10;403506
exp1i;control-customactionselection;27;1;1984053
exp1i;control-customactionselection;27;2;1692954
exp1i;control-customactionselection;27;3;2221905
exp1i;control-customactionselection;27;4;2355348
exp1i;control-customactionselection;27;5;1482392
exp1i;control-customactionselection;27;6;1792104
exp1i;control-customactionselection;27;7;2229388
exp1i;control-customactionselection;27;8;2613525
exp1i;control-customactionselection;27;9;2319308
exp1i;control-customactionselection;27;10;2485857
exp1i;plain;10;1;417418
exp1i;plain;10;2;436309
exp1i;plain;10;3;343360
exp1i;plain;10;4;401978
exp1i;plain;10;5;375767
exp1i;plain;10;6;424246
exp1i;plain;10;7;418748
exp1i;plain;10;8;361824
exp1i;plain;10;9;431524
exp1i;plain;10;10;381015
exp1i;control-customactionselection;43;1;1970555
exp1i;control-customactionselection;43;2;2694919
exp1i;control-customactionselection;43;3;2298461
exp1i;control-customactionselection;43;4;1510540
exp1i;control-customactionselection;43;5;2431511
exp1i;control-customactionselection;43;6;2012872
exp1i;control-customactionselection;43;7;2289377
exp1i;control-customactionselection;43;8;1746297
exp1i;control-customactionselection;43;9;1975567
exp1i;control-customactionselection;43;10;2492760
exp1i;control-defaultactionselection;54;1;2596933
exp1i;control-defaultactionselection;54;2;2336394
exp1i;control-defaultactionselection;54;3;2800677
exp1i;control-defaultactionselection;54;4;1736349
exp1i;control-defaultactionselection;54;5;2303423
exp1i;control-defaultactionselection;54;6;2027121
exp1i;control-defaultactionselection;54;7;2197398
exp1i;control-defaultactionselection;54;8;1787934
exp1i;control-defaultactionselection;54;9;2572971
exp1i;control-defaultactionselection;54;10;2170795
exp1i;control-defaultactionselection;5;1;2379478
exp1i;control-defaultactionselection;5;2;2316158
exp1i;control-defaultactionselection;5;3;2560542
exp1i;control-defaultactionselection;5;4;1484202
exp1i;control-defaultactionselection;5;5;1450415
exp1i;control-defaultactionselection;5;6;2147493
exp1i;control-defaultactionselection;5;7;3087976
exp1i;control-defaultactionselection;5;8;2305836
exp1i;control-defaultactionselection;5;9;2178480
exp1i;control-defaultactionselection;5;10;2717868
exp1i;plain;48;1;426878
exp1i;plain;48;2;375486
exp1i;plain;48;3;346216
exp1i;plain;48;4;357192
exp1i;plain;48;5;352512
exp1i;plain;48;6;361653
exp1i;plain;48;7;302507
exp1i;plain;48;8;426399
exp1i;plain;48;9;401265
exp1i;plain;48;10;433584
exp1i;experimental;8;1;2407105
exp1i;experimental;8;2;3379734
exp1i;experimental;8;3;2789683
exp1i;experimental;8;4;2100872
exp1i;experimental;8;5;2652678
exp1i;experimental;8;6;2148069
exp1i;experimental;8;7;2532121
exp1i;experimental;8;8;2445433
exp1i;experimental;8;9;2752811
exp1i;experimental;8;10;2285004
exp1i;control-defaultactionselection;22;1;2582777
exp1i;control-defaultactionselection;22;2;2416255
exp1i;control-defaultactionselection;22;3;1407928
exp1i;control-defaultactionselection;22;4;2646624
exp1i;control-defaultactionselection;22;5;1578812
exp1i;control-defaultactionselection;22;6;1367521
exp1i;control-defaultactionselection;22;7;1395295
exp1i;control-defaultactionselection;22;8;2284495
exp1i;control-defaultactionselection;22;9;1585451
exp1i;control-defaultactionselection;22;10;2382278
exp1i;plain;36;1;390111
exp1i;plain;36;2;400502
exp1i;plain;36;3;428993
exp1i;plain;36;4;345416
exp1i;plain;36;5;362942
exp1i;plain;36;6;345467
exp1i;plain;36;7;401654
exp1i;plain;36;8;409946
exp1i;plain;36;9;405985
exp1i;plain;36;10;392329
exp1i;control-customactionselection;20;1;2557736
exp1i;control-customactionselection;20;2;2335541
exp1i;control-customactionselection;20;3;2051661
exp1i;control-customactionselection;20;4;2611920
exp1i;control-customactionselection;20;5;1916588
exp1i;control-customactionselection;20;6;2638588
exp1i;control-customactionselection;20;7;1520656
exp1i;control-customactionselection;20;8;2447250
exp1i;control-customactionselection;20;9;2018506
exp1i;control-customactionselection;20;10;2179270
exp1i;plain;6;1;364264
exp1i;plain;6;2;404020
exp1i;plain;6;3;352569
exp1i;plain;6;4;348356
exp1i;plain;6;5;422518
exp1i;plain;6;6;361097
exp1i;plain;6;7;425457
exp1i;plain;6;8;399669
exp1i;plain;6;9;412156
exp1i;plain;6;10;342151
exp1i;plain;11;1;340719
exp1i;plain;11;2;410382
exp1i;plain;11;3;415985
exp1i;plain;11;4;349902
exp1i;plain;11;5;393476
exp1i;plain;11;6;409945
exp1i;plain;11;7;362268
exp1i;plain;11;8;356492
exp1i;plain;11;9;377953
exp1i;plain;11;10;419590
exp1i;plain;46;1;421856
exp1i;plain;46;2;413657
exp1i;plain;46;3;413764
exp1i;plain;46;4;349193
exp1i;plain;46;5;423563
exp1i;plain;46;6;420562
exp1i;plain;46;7;427992
exp1i;plain;46;8;393833
exp1i;plain;46;9;416907
exp1i;plain;46;10;404112
exp1i;control-customactionselection;7;1;1343472
exp1i;control-customactionselection;7;2;2167202
exp1i;control-customactionselection;7;3;1937521
exp1i;control-customactionselection;7;4;1986454
exp1i;control-customactionselection;7;5;2074937
exp1i;control-customactionselection;7;6;1804146
exp1i;control-customactionselection;7;7;2414609
exp1i;control-customactionselection;7;8;1818879
exp1i;control-customactionselection;7;9;2328508
exp1i;control-customactionselection;7;10;2320125
exp1i;plain;41;1;399112
exp1i;plain;41;2;351417
exp1i;plain;41;3;397762
exp1i;plain;41;4;420830
exp1i;plain;41;5;414108
exp1i;plain;41;6;388372
exp1i;plain;41;7;356616
exp1i;plain;41;8;364375
exp1i;plain;41;9;372325
exp1i;plain;41;10;407382
exp1i;plain;17;1;360564
exp1i;plain;17;2;373398
exp1i;plain;17;3;358628
exp1i;plain;17;4;408508
exp1i;plain;17;5;411684
exp1i;plain;17;6;371314
exp1i;plain;17;7;404120
exp1i;plain;17;8;343394
exp1i;plain;17;9;393055
exp1i;plain;17;10;346508
exp1i;plain;20;1;345665
exp1i;plain;20;2;405875
exp1i;plain;20;3;362775
exp1i;plain;20;4;371938
exp1i;plain;20;5;346400
exp1i;plain;20;6;339417
exp1i;plain;20;7;370749
exp1i;plain;20;8;427858
exp1i;plain;20;9;353282
exp1i;plain;20;10;377414
exp1i;plain;2;1;403819
exp1i;plain;2;2;350709
exp1i;plain;2;3;339754
exp1i;plain;2;4;428794
exp1i;plain;2;5;346922
exp1i;plain;2;6;387153
exp1i;plain;2;7;422936
exp1i;plain;2;8;379350
exp1i;plain;2;9;393611
exp1i;plain;2;10;420022
exp1i;experimental;1;1;1794863
exp1i;experimental;1;2;2460787
exp1i;experimental;1;3;3337179
exp1i;experimental;1;4;3608557
exp1i;experimental;1;5;2451758
exp1i;experimental;1;6;2921716
exp1i;experimental;1;7;3184143
exp1i;experimental;1;8;2320320
exp1i;experimental;1;9;2627544
exp1i;experimental;1;10;2711937
exp1i;control-customactionselection;14;1;1438983
exp1i;control-customactionselection;14;2;2364307
