Experiment;Condition;Run;Sequence;Result
exp1i;control-customactionselection;17;3;0
exp1i;control-customactionselection;17;4;0
exp1i;control-customactionselection;17;5;0
exp1i;control-customactionselection;17;6;0
exp1i;control-customactionselection;17;7;0
exp1i;control-customactionselection;17;8;0
exp1i;control-customactionselection;17;9;0
exp1i;control-customactionselection;17;10;0
exp1i;plain;13;1;0
exp1i;plain;13;2;0
exp1i;plain;13;3;0
exp1i;plain;13;4;0
exp1i;plain;13;5;0
exp1i;plain;13;6;0
exp1i;plain;13;7;0
exp1i;plain;13;8;0
exp1i;plain;13;9;0
exp1i;plain;13;10;0
exp1i;control-defaultactionselection;46;1;0
exp1i;control-defaultactionselection;46;2;0
exp1i;control-defaultactionselection;46;3;0
exp1i;control-defaultactionselection;46;4;0
exp1i;control-defaultactionselection;46;5;0
exp1i;control-defaultactionselection;46;6;0
exp1i;control-defaultactionselection;46;7;0
exp1i;control-defaultactionselection;46;8;0
exp1i;control-defaultactionselection;46;9;0
exp1i;control-defaultactionselection;46;10;0
exp1i;experimental;81;1;0
exp1i;experimental;81;2;0
exp1i;experimental;81;3;0
exp1i;experimental;81;4;0
exp1i;experimental;81;5;0
exp1i;experimental;81;6;0
exp1i;experimental;81;7;0
exp1i;experimental;81;8;0
exp1i;experimental;81;9;0
exp1i;experimental;81;10;0
exp1i;control-customactionselection;36;1;0
exp1i;control-customactionselection;36;2;0
exp1i;control-customactionselection;36;3;0
exp1i;control-customactionselection;36;4;0
exp1i;control-customactionselection;36;5;0
exp1i;control-customactionselection;36;6;0
exp1i;control-customactionselection;36;7;0
exp1i;control-customactionselection;36;8;0
exp1i;control-customactionselection;36;9;0
exp1i;control-customactionselection;36;10;0
exp1i;plain;3;1;0
exp1i;plain;3;2;0
exp1i;plain;3;3;0
exp1i;plain;3;4;0
exp1i;plain;3;5;0
exp1i;plain;3;6;0
exp1i;plain;3;7;0
exp1i;plain;3;8;0
exp1i;plain;3;9;0
exp1i;plain;3;10;0
exp1i;control-defaultactionselection;33;1;0
exp1i;control-defaultactionselection;33;2;0
exp1i;control-defaultactionselection;33;3;0
exp1i;control-defaultactionselection;33;4;0
exp1i;control-defaultactionselection;33;5;0
exp1i;control-defaultactionselection;33;6;0
exp1i;control-defaultactionselection;33;7;0
exp1i;control-defaultactionselection;33;8;0
exp1i;control-defaultactionselection;33;9;0
exp1i;control-defaultactionselection;33;10;0
exp1i;control-defaultactionselection;12;1;0
exp1i;control-defaultactionselection;12;2;0
exp1i;control-defaultactionselection;12;3;0
exp1i;control-defaultactionselection;12;4;0
exp1i;control-defaultactionselection;12;5;0
exp1i;control-defaultactionselection;12;6;0
exp1i;control-defaultactionselection;12;7;0
exp1i;control-defaultactionselection;12;8;0
exp1i;control-defaultactionselection;12;9;0
exp1i;control-defaultactionselection;12;10;0
exp1i;control-defaultactionselection;44;1;0
exp1i;control-defaultactionselection;44;2;0
exp1i;control-defaultactionselection;44;3;0
exp1i;control-defaultactionselection;44;4;0
exp1i;control-defaultactionselection;44;5;0
exp1i;control-defaultactionselection;44;6;0
exp1i;control-defaultactionselection;44;7;0
exp1i;control-defaultactionselection;44;8;0
exp1i;control-defaultactionselection;44;9;0
exp1i;control-defaultactionselection;44;10;0
exp1i;plain;43;1;0
exp1i;plain;43;2;0
exp1i;plain;43;3;0
exp1i;plain;43;4;0
exp1i;plain;43;5;0
exp1i;plain;43;6;0
exp1i;plain;43;7;0
exp1i;plain;43;8;0
exp1i;plain;43;9;0
exp1i;plain;43;10;0
exp1i;control-defaultactionselection;11;1;0
exp1i;control-defaultactionselection;11;2;0
exp1i;control-defaultactionselection;11;3;0
exp1i;control-defaultactionselection;11;4;0
exp1i;control-defaultactionselection;11;5;0
exp1i;control-defaultactionselection;11;6;0
exp1i;control-defaultactionselection;11;7;0
exp1i;control-defaultactionselection;11;8;0
exp1i;control-defaultactionselection;11;9;0
exp1i;control-defaultactionselection;11;10;0
exp1i;experimental;41;1;0
exp1i;experimental;41;2;0
exp1i;experimental;41;3;0
exp1i;experimental;41;4;0
exp1i;experimental;41;5;0
exp1i;experimental;41;6;0
exp1i;experimental;41;7;0
exp1i;experimental;41;8;0
exp1i;experimental;41;9;0
exp1i;experimental;41;10;0
exp1i;plain;16;1;0
exp1i;plain;16;2;0
exp1i;plain;16;3;0
exp1i;plain;16;4;0
exp1i;plain;16;5;0
exp1i;plain;16;6;0
exp1i;plain;16;7;0
exp1i;plain;16;8;0
