Condition;Average;Standard deviation;Median;N
plain;3801.472;187.691;3853.36;35
experimental;45416.569;8604.784;43692.397;35
control-customactionselection;29023.761;1562.55;28932.376;35
control-defaultactionselection;33071.892;1758.876;32746.985;35
